time|position|velocity|acceleration|rotation|rotational velocity|rotational acceleration|sun|charge
120|1869243.707179984,5163665.592588507,-1143596.5762803822|-7825.756299968394,4159.040610879261,2359.495715972178|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999709797,-0.00002409135745732196,0|10
121|1850092.9129995913,5173801.819183232,-1137818.6222589263|-7836.022098421714,4130.508035705872,2365.7926826339344|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997049805,-0.000024290459585029423,0|10
122|1830921.9665021293,5183865.718354751,-1132026.7699037273|-7846.169686642984,4101.954703884445,2372.050045658014|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999997001244,-0.000024489561712735924,0|10
123|1812074.0739526919,5193679.468379573,-1126324.9284023573|-7856.021079151145,4073.891766396892,2378.1570793366286|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999996952287,-0.000024688663840441454,0|10
124|1792864.1945845478,5203599.899453468,-1120505.8734427677|-7865.934588795648,4045.299481390799,2384.335817249873|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999996902933,-0.000024887765968146004,0|10
125|1773635.183427495,5213447.901870547,-1114673.2693982827|-7875.730131534272,4016.6886451859864,2390.4748293125153|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999996853182,-0.00002508686809584957,0|10
126|1754387.382175643,5223223.446225254,-1108827.2336276271|-7885.407799226172,3988.0599935000473,2396.5740785129337|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999996803034,-0.00002528597022355214,0|10
127|1735121.132235184,5232926.505383432,-1102967.883602275|-7894.96768883353,3959.4142600458117,2402.633529822423|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999675249,-0.00002548507235125371,0|10
128|1715836.7747080945,5242557.054476499,-1097095.3369001693|-7904.409902389428,3930.75217648451,2408.65315018831|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999670155,-0.000025684174478954268,0|10
129|1696879.4849940017,5251945.028200745,-1091314.9256676424|-7913.569065790993,3902.586706999279,2414.5264768549973|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999996650213,-0.000025883276606653804,0|10
130|1677560.2425032645,5261431.787345409,-1085416.5691576113|-7922.778349896746,3873.8943693523966,2420.4670566302248|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999659848,-0.000026082378734352316,0|10
131|1658223.907674804,5270845.975655879,-1079505.3671755125|-7931.8702920147725,3845.1878508807035,2426.367718556395|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999999654635,-0.000026281480862049795,0|10
132|1638870.8202390815,5280187.5772247,-1073581.4376612692|-7940.84501404462,3816.467874621162,2432.2284373776815|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999996493825,-0.00002648058298974623,0|10
