time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
3905|-4166511.8661563136,-7366505.754824385,2158756.013886896|5021.979399578279,-2380.370734874259,-1541.3318015166055|0,0,0|0,0,0|0,0,0|-0.9999996975966796,-0.0007776928326605012,0|9.738520327156373
3906|-4163652.5918807727,-7367860.118220566,2157878.3681566003|5023.397977984429,-2377.8615583040773,-1542.066899169712|0,0,0|0,0,0|0,0,0|-0.9999996974418195,-0.0007778919347280422,0|9.738603876431492
3907|-4160791.5990399085,-7369213.483733008,2157000.024230231|5024.81624736731,-2375.3507431634953,-1542.8020425373595|0,0,0|0,0,0|0,0,0|-0.9999996972869197,-0.0007780910367955525,0|9.738687425761874
3908|-4157928.8861099863,-7370565.850077411,2156120.981451108|5026.234207295203,-2372.8382874670024,-1543.53723165481|0,0,0|0,0,0|0,0,0|-0.9999996971319802,-0.0007782901388630318,0|9.73877097514752
3909|-4155026.750155368,-7371934.990421876,2155229.658939752|5027.670508556836,-2370.2910980289616,-1544.2821410056563|0,0,0|0,0,0|0,0,0|-0.9999996969770011,-0.0007784892409304804,0|9.73885452458843
3910|-4152122.8453951464,-7373303.102466844,2154337.617704197|5029.106491267874,-2367.7422204666477,-1545.027097389634|0,0,0|0,0,0|0,0,0|-0.9999996968219823,-0.000778688342997898,0|9.7389380740846
3911|-4149254.917634615,-7374652.437153995,2153456.4559667306|5030.5235120362595,-2365.2247878044873,-1545.762425170673|0,0,0|0,0,0|0,0,0|-0.9999996966669239,-0.0007788874450652849,0|9.739077179191593
3912|-4146385.263635423,-7376000.767467667,2152574.5927241393|5031.940221590814,-2362.7057065635636,-1546.497798838933|0,0,0|0,0,0|0,0,0|-0.9999996965118259,-0.0007790865471326409,0|9.739216284353846
3913|-4143513.8818665612,-7377348.092106419,2151692.0273155705|5033.356619489564,-2360.1849747441343,-1547.2332184274112|0,0,0|0,0,0|0,0,0|-0.9999996963566882,-0.0007792856491999659,0|9.739355389571363
3914|-4140640.770795605,-7378694.409765374,2150808.7590793497|5034.772705288468,-2357.662590343635,-1547.9686839686433|0,0,0|0,0,0|0,0,0|-0.9999996962015109,-0.0007794847512672601,0|9.739494494844143
